datetime,pid1.pv,pid1.mv,pid1.sv,pid1.kp,pid1.Ti,pid1.Td[bool]
2025-03-12 20:41:10,0.24994344175669034,11.082937534781328,0.25,120,2,0
2025-03-12 20:41:15,0.24995053504039105,11.082383130494895,0.25,120,2,0
2025-03-12 20:41:20,0.2499571659483502,11.081844425849694,0.25,120,2,0
2025-03-12 20:41:25,0.24996335041134057,11.081322187822808,0.25,120,2,0
2025-03-12 20:41:30,0.2499691047203546,11.080817042418996,0.25,120,2,0
2025-03-12 20:41:35,0.24997444542471706,11.080329485347201,0.25,120,2,0
2025-03-12 20:41:40,0.24997938923872326,11.079859892234117,0.25,120,2,0
2025-03-12 20:41:45,0.24998395295638898,11.079408528375899,0.25,120,2,0
2025-03-12 20:41:50,0.24998815337390276,11.078975558030828,0.25,120,2,0
2025-03-12 20:41:55,0.24999200721937792,11.078561053257543,0.25,120,2,0
2025-03-12 20:42:00,0.2499955310895091,11.078165002304747,0.25,120,2,0
2025-03-12 20:42:05,0.24999874139274686,11.077787317559734,0.25,120,2,0
2025-03-12 20:42:10,0.25000165429861304,11.077427843064113,0.25,120,2,0
2025-03-12 20:42:15,0.25000428569278893,11.077086361606272,0.25,120,2,0
2025-03-12 20:42:20,0.2500066511376202,11.076762601400796,0.25,120,2,0
2025-03-12 20:42:25,0.2500087658376925,11.076456242365971,0.25,120,2,0
2025-03-12 20:42:30,0.2500106446101428,11.07616692201108,0.25,120,2,0
2025-03-12 20:42:35,0.25001230185938506,11.075894240945694,0.25,120,2,0
2025-03-12 20:42:40,0.250013751555939,11.075637768023585,0.25,120,2,0
2025-03-12 20:42:45,0.25001500721906333,11.075397045134288,0.25,120,2,0
2025-03-12 20:42:50,0.2500160819029077,11.075171591655518,0.25,120,2,0
2025-03-12 20:42:55,0.25001698818590967,11.074960908579822,0.25,120,2,0
2025-03-12 20:43:00,0.25001773816317485,11.074764482328952,0.25,120,2,0
2025-03-12 20:43:05,0.25001834344159046,11.074581788269537,0.25,120,2,0
2025-03-12 20:43:10,0.25001881513743607,11.074412293943446,0.25,120,2,0
2025-03-12 20:43:15,0.2500191638762652,11.074255462026358,0.25,120,2,0
2025-03-12 20:43:20,0.25001939979484494,11.074110753027721,0.25,120,2,0
2025-03-12 20:43:25,0.25001953254495085,11.073977627745306,0.25,120,2,0
2025-03-12 20:43:30,0.2500195712988273,11.073855549487169,0.25,120,2,0
2025-03-12 20:43:35,0.250019524756133,11.073743986073687,0.25,120,2,0
2025-03-12 20:43:40,0.25001940115220267,11.073642411632111,0.25,120,2,0
2025-03-12 20:43:45,0.2500192082674669,11.073550308195603,0.25,120,2,0
2025-03-12 20:43:50,0.25001895343788094,11.07346716711863,0.25,120,2,0
2025-03-12 20:43:55,0.2500186435662251,11.07339249031998,0.25,120,2,0
2025-03-12 20:44:00,0.25001828513414587,11.073325791364613,0.25,120,2,0
2025-03-12 20:44:05,0.250017884214819,11.073266596394921,0.25,120,2,0
2025-03-12 20:44:10,0.25001744648612284,11.073214444921726,0.25,120,2,0
2025-03-12 20:44:15,0.25001697724421823,11.07316889048497,0.25,120,2,0
2025-03-12 20:44:20,0.25001648141744093,11.073129501193602,0.25,120,2,0
2025-03-12 20:44:25,0.2500159635804185,11.073095860153781,0.25,120,2,0
2025-03-12 20:44:30,0.2500154279683319,11.07306756579418,0.25,120,2,0
2025-03-12 20:44:35,0.2500148784912488,11.07304423209666,0.25,120,2,0
2025-03-12 20:44:40,0.2500143187484615,11.073025488740374,0.25,120,2,0
2025-03-12 20:44:45,0.2500137520427697,11.073010981166766,0.25,120,2,0
2025-03-12 20:44:50,0.2500131813946542,11.073000370572698,0.25,120,2,0
2025-03-12 20:44:55,0.25001260955629134,11.072993333838497,0.25,120,2,0
2025-03-12 20:45:00,0.25001203902536573,11.072989563397377,0.25,120,2,0
2025-03-12 20:45:05,0.2500114720586429,11.07298876705226,0.25,120,2,0
2025-03-12 20:45:10,0.2500109106852669,11.07299066774578,0.25,120,2,0
2025-03-12 20:45:15,0.2500103567197542,11.072995003288776,0.25,120,2,0
2025-03-12 20:45:20,0.25000981177465775,11.073001526052401,0.25,120,2,0
2025-03-12 20:45:25,0.2500092772728799,11.073010002628463,0.25,120,2,0
2025-03-12 20:45:30,0.2500087544596155,11.073020213462497,0.25,120,2,0
2025-03-12 20:45:35,0.2500082444139104,11.07303195246365,0.25,120,2,0
2025-03-12 20:45:40,0.25000774805982373,11.073045026595107,0.25,120,2,0
2025-03-12 20:45:45,0.250007266177184,11.07305925544877,0.25,120,2,0
2025-03-12 20:45:50,0.25000679941193327,11.073074470807258,0.25,120,2,0
2025-03-12 20:45:55,0.25000634828605434,11.073090516196405,0.25,120,2,0
2025-03-12 20:46:00,0.2500059132070794,11.073107246430924,0.25,120,2,0
2025-03-12 20:46:05,0.2500054944771795,11.07312452715583,0.25,120,2,0
2025-03-12 20:46:10,0.2500050923018371,11.073142234385896,0.25,120,2,0
2025-03-12 20:46:15,0.25000470679810377,11.073160254045273,0.25,120,2,0
2025-03-12 20:46:20,0.2500043380024487,11.073178481509188,0.25,120,2,0
2025-03-12 20:46:25,0.25000398587820355,11.073196821149386,0.25,120,2,0
2025-03-12 20:46:30,0.25000365032261007,11.073215185884944,0.25,120,2,0
2025-03-12 20:46:35,0.25000333117347967,11.073233496739714,0.25,120,2,0
2025-03-12 20:46:40,0.2500030282154725,11.07325168240774,0.25,120,2,0
2025-03-12 20:46:45,0.25000274118600657,11.073269678827613,0.25,120,2,0
2025-03-12 20:46:50,0.2500024697808071,11.073287428766708,0.25,120,2,0
2025-03-12 20:46:55,0.250002213659106,11.073304881416199,0.25,120,2,0
2025-03-12 20:47:00,0.2500019724485042,11.073321991997393,0.25,120,2,0
2025-03-12 20:47:05,0.2500017457495068,11.07333872138004,0.25,120,2,0
2025-03-12 20:47:10,0.25000153313974427,11.073355035713076,0.25,120,2,0
2025-03-12 20:47:15,0.25000133417789083,11.073370906068144,0.25,120,2,0
2025-03-12 20:47:20,0.25000114840729265,11.07338630809617,0.25,120,2,0
2025-03-12 20:47:25,0.2500009753593177,11.073401221697258,0.25,120,2,0
2025-03-12 20:47:30,0.25000081455644013,11.073415630703925,0.25,120,2,0
2025-03-12 20:47:35,0.25000066551507066,11.073429522577838,0.25,120,2,0
2025-03-12 20:47:40,0.2500005277481457,11.07344288811996,0.25,120,2,0
2025-03-12 20:47:45,0.2500004007674865,11.073455721194149,0.25,120,2,0
2025-03-12 20:47:50,0.250000284085941,11.07346801846396,0.25,120,2,0
2025-03-12 20:47:55,0.2500001772193191,11.07347977914267,0.25,120,2,0
2025-03-12 20:48:00,0.2500000796881334,11.073491004756153,0.25,120,2,0
2025-03-12 20:48:05,0.24999999101915601,11.073501698918506,0.25,120,2,0
2025-03-12 20:48:10,0.2499999107468025,11.073511867120112,0.25,120,2,0
2025-03-12 20:48:15,0.24999983841435372,11.073521516527844,0.25,120,2,0
2025-03-12 20:48:20,0.24999977357502515,11.073530655797123,0.25,120,2,0
